ticker,name,value
ARVEE,Market Cap,
ARVEE,Current Price,
ARVEE,High / Low,
ARVEE,Stock P/E,
ARVEE,Book Value,
ARVEE,Dividend Yield,
ARVEE,ROCE,
ARVEE,ROE,
ARVEE,Face Value,
MHLXMIRU,Market Cap,331
MHLXMIRU,Current Price,312
MHLXMIRU,High / Low,"322,143"
MHLXMIRU,Stock P/E,36.9
MHLXMIRU,Book Value,86.3
MHLXMIRU,Dividend Yield,0.00
MHLXMIRU,ROCE,10.2
MHLXMIRU,ROE,8.49
MHLXMIRU,Face Value,10.0
MANOMAY,Market Cap,
MANOMAY,Current Price,
MANOMAY,High / Low,
MANOMAY,Stock P/E,
MANOMAY,Book Value,
MANOMAY,Dividend Yield,
MANOMAY,ROCE,
MANOMAY,ROE,
MANOMAY,Face Value,
ARSHIYA,Market Cap,211
ARSHIYA,Current Price,8.00
ARSHIYA,High / Low,"9.25,3.45"
SUBROS,Market Cap,"3,588"
SUBROS,Current Price,550
SUBROS,High / Low,"578,271"
SUBROS,Stock P/E,53.7
SUBROS,Book Value,138
SUBROS,Dividend Yield,0.18
SUBROS,ROCE,8.82
SUBROS,ROE,5.60
SUBROS,Face Value,2.00
ARSHIYA,Stock P/E,
ARSHIYA,Book Value,0.10
ARSHIYA,Dividend Yield,0.00
ARSHIYA,ROCE,-2.49
ARSHIYA,ROE,-104
ARSHIYA,Face Value,2.00
AMBICAAGAR,Market Cap,54.6
AMBICAAGAR,Current Price,31.8
AMBICAAGAR,High / Low,"43.1,19.1"
AMBICAAGAR,Stock P/E,43.0
AMBICAAGAR,Book Value,21.0
FCSSOFT,Market Cap,727
FCSSOFT,Current Price,4.25
FCSSOFT,High / Low,"5.05,1.84"
FCSSOFT,Stock P/E,401
FCSSOFT,Book Value,2.09
FCSSOFT,Dividend Yield,0.00
FCSSOFT,ROCE,0.96
FCSSOFT,ROE,0.35
FCSSOFT,Face Value,1.00
BAGFILMS,Market Cap,186
BAGFILMS,Current Price,9.40
BAGFILMS,High / Low,"9.89,3.50"
BAGFILMS,Stock P/E,18.0
BAGFILMS,Book Value,7.40
BAGFILMS,Dividend Yield,0.00
BAGFILMS,ROCE,2.41
BAGFILMS,ROE,-1.20
BAGFILMS,Face Value,2.00
BHAGYANGR,Market Cap,281
BHAGYANGR,Current Price,87.8
BHAGYANGR,High / Low,"96.8,41.4"
BHAGYANGR,Stock P/E,5.71
BHAGYANGR,Book Value,58.8
